,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-01-02,11.851043787000002,-7.607477428002615,67.08745128851714,11.851043787000002,11.851043787000002,18.100247526974066,18.100247526974066,18.100247526974066,-3.819842178895648,-3.819842178895648,-3.819842178895648,21.92008970586971,21.92008970586971,21.92008970586971,0.0,0.0,0.0,29.951291313974068
1,2020-01-03,12.361848069683708,-8.936937008965202,66.20379608011729,12.361848069683708,12.361848069683708,18.395243833475778,18.395243833475778,18.395243833475778,-4.309793508069936,-4.309793508069936,-4.309793508069936,22.705037341545715,22.705037341545715,22.705037341545715,0.0,0.0,0.0,30.757091903159484
2,2020-01-06,13.894260917734826,0.4048675231817327,76.10053423924543,13.894260917734826,13.894260917734826,22.09091391400759,22.09091391400759,22.09091391400759,-2.3814169280016704,-2.3814169280016704,-2.3814169280016704,24.47233084200926,24.47233084200926,24.47233084200926,0.0,0.0,0.0,35.98517483174241
3,2020-01-07,14.405065200418534,0.27047452046725917,73.64776575754281,14.405065200418534,14.405065200418534,21.65444442357159,21.65444442357159,21.65444442357159,-3.1518684671557606,-3.1518684671557606,-3.1518684671557606,24.80631289072735,24.80631289072735,24.80631289072735,0.0,0.0,0.0,36.059509623990124
4,2020-01-08,14.915869483102238,-0.10572830397758186,74.76540893782042,14.915869483102238,14.915869483102238,22.095277698693952,22.095277698693952,22.095277698693952,-2.8959758353039664,-2.8959758353039664,-2.8959758353039664,24.991253533997916,24.991253533997916,24.991253533997916,0.0,0.0,0.0,37.01114718179619
5,2020-01-09,15.426673765785946,-1.4669640413847187,72.21538089117483,15.426673765785946,15.426673765785946,21.200103270339543,21.200103270339543,21.200103270339543,-3.8198421788988175,-3.8198421788988175,-3.8198421788988175,25.019945449238357,25.019945449238357,25.019945449238357,0.0,0.0,0.0,36.62677703612549
6,2020-01-10,15.93747804846965,-2.1854801079196395,72.34339478981329,15.93747804846965,15.93747804846965,20.57951583406895,20.57951583406895,20.57951583406895,-4.309793508102725,-4.309793508102725,-4.309793508102725,24.889309342171675,24.889309342171675,24.889309342171675,0.0,0.0,0.0,36.5169938825386
7,2020-01-13,17.46989089652077,3.9957649086488463,77.0233369588706,17.46989089652077,17.46989089652077,21.19230741330664,21.19230741330664,21.19230741330664,-2.381416928001062,-2.381416928001062,-2.381416928001062,23.573724341307702,23.573724341307702,23.573724341307702,0.0,0.0,0.0,38.66219830982741
8,2020-01-14,17.980695179204474,0.9872849056166217,71.4576916796989,17.980695179204474,17.980695179204474,19.706533846384307,19.706533846384307,19.706533846384307,-3.1518684671584634,-3.1518684671584634,-3.1518684671584634,22.85840231354277,22.85840231354277,22.85840231354277,0.0,0.0,0.0,37.68722902558878
9,2020-01-15,18.491499461888182,1.6569962998286827,73.91989012895951,18.491499461888182,18.491499461888182,19.133551726571994,19.133551726571994,19.133551726571994,-2.895975835302815,-2.895975835302815,-2.895975835302815,22.02952756187481,22.02952756187481,22.02952756187481,0.0,0.0,0.0,37.625051188460176
10,2020-01-16,19.00230374457189,-1.1989276271040559,74.57202393975123,19.00230374457189,19.00230374457189,17.286925343903732,17.286925343903732,17.286925343903732,-3.819842178901986,-3.819842178901986,-3.819842178901986,21.106767522805715,21.106767522805715,21.106767522805715,0.0,0.0,0.0,36.28922908847562
11,2020-01-17,19.513108027255594,-2.528135679530302,73.51988885420965,19.513108027255594,19.513108027255594,15.802455282215078,15.802455282215078,15.802455282215078,-4.309793508083753,-4.309793508083753,-4.309793508083753,20.11224879029883,20.11224879029883,20.11224879029883,0.0,0.0,0.0,35.315563309470676
12,2020-01-21,21.55632515799042,-5.378882801376522,69.98641938538944,21.55632515799042,21.55632515799042,12.757808011984409,12.757808011984409,12.757808011984409,-3.1518684671611648,-3.1518684671611648,-3.1518684671611648,15.909676479145574,15.909676479145574,15.909676479145574,0.0,0.0,0.0,34.31413316997482
13,2020-01-22,22.067129440674123,-5.056699339009309,74.08348340946742,22.067129440674123,22.067129440674123,12.033167257932922,12.033167257932922,12.033167257932922,-2.8959758353012433,-2.8959758353012433,-2.8959758353012433,14.929143093234163,14.929143093234163,14.929143093234163,0.0,0.0,0.0,34.100296698607046
14,2020-01-23,22.57793372335783,-5.402020857024602,67.38145855519517,22.57793372335783,22.57793372335783,10.204526307357238,10.204526307357238,10.204526307357238,-3.8198421789051573,-3.8198421789051573,-3.8198421789051573,14.024368486262395,14.024368486262395,14.024368486262395,0.0,0.0,0.0,32.78246003071507
15,2020-01-24,23.088738006041538,-2.6739769655211645,68.42908875673324,23.088738006041538,23.088738006041538,8.90611597634675,8.90611597634675,8.90611597634675,-4.309793508081847,-4.309793508081847,-4.309793508081847,13.215909484428598,13.215909484428598,13.215909484428598,0.0,0.0,0.0,31.99485398238829
16,2020-01-27,24.621150854092654,-3.49993233122873,71.68520414559238,24.621150854092654,24.621150854092654,9.14648627976577,9.14648627976577,9.14648627976577,-2.3814169280175377,-2.3814169280175377,-2.3814169280175377,11.527903207783309,11.527903207783309,11.527903207783309,0.0,0.0,0.0,33.76763713385843
17,2020-01-28,25.13195513677636,-6.8410127652947095,69.6879821475624,25.13195513677636,25.13195513677636,8.09378647898017,8.09378647898017,8.09378647898017,-3.1518684671512394,-3.1518684671512394,-3.1518684671512394,11.24565494613141,11.24565494613141,11.24565494613141,0.0,0.0,0.0,33.22574161575653
