date,open,high,low,close,volume,raw_close,change_percent,avg_vol_20d
02/01/2020,28.3,28.71304,28.114,28.684,143375784,430.26,2.85,153126135
03/01/2020,29.36666,30.26666,29.128,29.534,266920473,443.01,2.96,162319968.4
06/01/2020,29.36466,30.104,29.33334,30.10266,152362493,451.5399,1.93,167135361.1
07/01/2020,30.76,31.442,30.22366,31.27066,273137103,469.0599,3.88,175078013.8
08/01/2020,31.58,33.23266,31.21534,32.80934,467990844,492.1401,4.92,191697393.5
09/01/2020,33.14,33.25334,31.52466,32.08934,426947816,481.3401,-2.19,206414820.6
10/01/2020,32.11934,32.32934,31.58,31.87666,194652441,478.1499,-0.66,210958071.4
13/01/2020,32.9,35.042,32.8,34.99066,399518247,524.8599,9.77,225101825.8
14/01/2020,36.28366,36.494,34.99334,35.86134,435920696,537.9201,2.49,242031050.8
15/01/2020,35.31734,35.856,34.45236,34.56666,260532469,518.4999,-3.61,241391970.6
16/01/2020,32.91666,34.29734,32.81134,34.23266,326049736,513.4899,-0.97,251316625.7
17/01/2020,33.84066,34.378,33.544,34.03334,204436056,510.5001,-0.58,250936135.7
21/01/2020,35.35,36.572,35.22734,36.48,267052083,547.2,7.19,250698507.2
22/01/2020,38.126,39.63334,37.27334,37.97066,470535444,569.5599,4.09,263136372.4
23/01/2020,37.61666,38.8,37.04018,38.14666,294765572,572.1999,0.46,267875036.4
24/01/2020,38.042,38.25732,36.95066,37.65466,215303991,564.8199,-1.29,272599196.2
27/01/2020,36.13266,37.62934,35.952,37.20134,204121056,558.0201,-1.2,274819031.9
28/01/2020,37.89934,38.454,37.20534,37.79334,176827342,566.9001,1.59,276192779.1
29/01/2020,38.37934,39.32,37.82866,38.73266,273250068,580.9899,2.49,280404330.4
30/01/2020,42.16134,43.392,41.2,42.72066,435085181,640.8099,10.3,294439244.8
31/01/2020,42.66666,43.53334,42.168,43.37134,235789055,650.5701,1.52,299059908.3
03/02/2020,44.91268,52.40934,44.90134,52,708502469,780,19.89,321139008.1
04/02/2020,58.864,64.59934,55.592,59.13734,914081390,887.0601,13.73,359224953
05/02/2020,54.884,56.39866,46.94072,48.98,726357568,734.7,-17.18,381885976.2
06/02/2020,46.66132,53.05534,45.8,49.93066,598211284,748.9599,1.94,388396998.2
07/02/2020,48.70334,51.31666,48.66666,49.87134,255952789,748.0701,-0.12,379847246.9
10/02/2020,53.33334,54.666,50.16,51.41866,370337384,771.2799,3.1,388631494
11/02/2020,51.25266,52.23374,50.53334,51.62534,175462042,774.3801,0.4,377428683.8
12/02/2020,51.858,52.65,50.89134,51.15266,180337042,767.2899,-0.92,364649501.1
13/02/2020,49.456,54.53334,49,53.6,394340263,804,4.78,371339890.8
14/02/2020,52.48134,54.198,52.36666,53.33534,235405655,800.0301,-0.49,366807686.7
18/02/2020,56.10666,57.33334,55.49066,57.22666,250475524,858.3999,7.3,369109660.1
19/02/2020,61.56666,62.98534,60.068,61.16132,381344398,917.4198,6.88,374824275.9
20/02/2020,60.79666,60.8,57.32934,59.96066,264523353,899.4099,-1.96,364523671.3
21/02/2020,60.46534,60.87066,58.69666,60.06666,215091741,900.9999,0.18,360539979.8
24/02/2020,55.93332,57.56666,54.81334,55.586,227882390,833.79,-7.46,361168899.7
25/02/2020,56.6,57.10666,52.46666,53.32734,259357189,799.9101,-4.06,363930706.4
